Produto,Referência,Preço venda,Preço revenda,Quantidade,Codigo de barras
FY-044 - MINI VENTILADOR PORTÁTIL CARREGAMENTO USB,FY-044,13,20,0,6973382950482
B18 - COPO TÉRMICO 890ML,B18,40,60,0,1000010016090
B23 - COPO TÉRMICO LONGNECK C/NOME 420ML,CUP-B23,25,40,0,1000010026068
CBO-6010 - CABO DE DADOS DE CARREGAMENTO RÁPIDO 3.4A I6 1000MM,CBO-6010,6,12,0,7899085713553
CBO-6054 - CABO CARREGADOR E TRANSMISSOR DE DADOS 3.4A V8 1000MM,CBO-6054,5.5,10,0,7899085126445
HY-1031 - CAIXA DE SOM BLUETOOTH,HY-1031,110,180,0,6901765110314
A1-107 - RÁDIO A-VISION,A1-107,80,120,0,8008217561200
LAM-12180 - LUMINARIA RGB C/CAIXA DE SOM E CARREGADOR INDUCAO INOVA,LAM-12180,70,120,0,7898070367382
LAM-12186 - LUMINARIA RGB C/CAIXA DE SOM E CARREGADOR INDUCAO INOVA,LAM-12186,70,130,0,7898070367412
CAR-3118A - CARREGADOR RÁPIDO C/2 USB I6 3.1A,CAR-3118A,10.5,20,0,7899085487478
CAR-3118S - CARREGADOR RÁPIDO C/2 USB V8 3.1A,CAR-3118S,10,20,0,7899085126964
KAP-2W - CONTROLE DE PLAY 2,KAP-2W,40,70,0,7898877814218
LE-010 - SUPORTE UNIVERSAL PARA CELULAR,LE-010,20,35,0,7908125200820
LE-909 - MICROFONE,LE-909,110,150,0,7908044601319
LE-6612 - CABO COM MALHA HDTV VERSION 1.4 1.8M,LE-6612,8.5,15,0,7898605601356
CBO-5862 - CABO TUBETE 1M IPH,CBO-5862,7,15,0,7899085590437
CBO-7555 - CABO USB V8 1M INOVA,CBO-7555,5.5,10,0,7899085486389
CBO-9823 - CABO USB SAQUINHO TIPO C 1M,CBO-9823,3.5,8,0,7899085591106
CBO-6055 - CABO DE DADOS INOVA TIPO C 3.4 1M,CBO-6055,5.5,10,0,7899085126452
CBO-9824 - CABO USB DE SAQUINHO V8 1M,CBO-9824,3,8,0,7899085591113
CBO-30007 - CABO TC-IPH,CBO-30007,6,12,0,190198496263
CAR-5245-F - FONTE CARREGADORA 3.1A 2USB CAR-5245-F,CAR-5245-F,9.5,15,0,7899085591380
CBO-9822 -- CABO USB DE SAQUINHO V8 1M,CBO-9822,3,8,0,7899085591090
BA-CBO-7418 - CABO USB 1M IPHONE,BA-CBO-7418,4.2,10,0,7899085711634
LE-7490-1 - CONTROLE PARA TV BOX,LE-7490-1,8,15,0,7908044601418
CBO-6087 - CABO 3.4A V8 1M,CBO-6087,4.5,10,0,
LE-2406 - FONE DE OUVIDO,LE-2406,65,100,0,7908125204453
FON-30177- FONE DE OUVIDO BLUETOOTH,FON-30177,40,65,0,7899085713639
FON-20409 - FONE DE OUVIDO BLUETOOTH,FON-20409,40,65,0,7899085713393
AB-13 - CABO V8 1M ASTON,AB-13,5,10,0,
AB-14 - CABO TIPO C 1M ASTON,AB-14,6,10,0,
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
FON-8524 - FONE DE OUVIDO DE UNICÓRNIO,FON-8524,35,50,0,7893590428506
RAD-9027 - RADIO INOVA,RAD-9027,27,50,0,
REM-8031 - CONTROLE CINE RAL TV,REM-8031,3,6,0,
FL-6TOMADAS - FILTRO DE LINHA 6 TOMADAS,FL-6TOMADAS,25,40,0,7898905743060
SL-7215 - EXTENSÃO DE 5 TOMADAS,SL-7215,20,30,0,7899085123512
EXTENSÃO BARRA 10 METROS GROSSO 2P+P+T BRASFLEX,EXTENSÃO BARRA 10 METROS GROSSO,32,50,0,7898331540424
CELL-11055 - PILHA AA CARTELA C/4,CELL-11055,5,10,0,
MIC-30185 - MICROFONE LAPELA IPH 2,MIC-30185,120,180,0,
FON-2307D - FONE BLUETOOTH (BASIKE),FON-2307D,27,40,0,7893595552817
CBO-7384 - ADAPTADOR IPH,CBO-7384,9,15,0,7893590428643
KA-1155 - CASE PARA HD,KA-1155,20,35,0,7897728421582
KAP-M40 - CARREGADOR DE MI BAND,KAP-M40,8,15,0,8878917557403
AB-30 - MOUSE GAMER ASTON,AB-30,22,35,0,
KV-143 - BALANÇA DE BANHEIRO,KV-143,55,80,0,
RAD-B5309 - RADIO INOVA,RAD-B5309,17,30,0,7908346239333
RAD-B5308 - RADIO INOVA,RAD-B5308,17,30,0,7908346239319
LE-047 - SUPORTE PARA CELULAR,LE-047,15,25,0,
W35 PHOM7X - RELOGIO,W35 PHOM7X,140,200,0,
W68+ - RELOGIO SMART,W68+,150,250,0,
RÁDIO H5 MINI BOOMBOX,RÁDIO H5 MINI BOOMBOX,0.1,0,0,
CBO-20201- CABO USB 1M IPH,CBO-20201,6,12,0,7899085594466
FEMI-C28 - CABO USB PARA CELULAR V8 25W,FEMI-C28,2,7,0,
COLA RATO A1-002 REFIL C/20 PÇS,COLA RATO A1-002,30,45,0,6920053500033
CHAR-11051 - CARREGADOR PORTÁTIL POR INDUÇÃO,CHAR-11051,55,80,0,7899085593032
RAD-12525 - CAIXA DE SOM,RAD-12525,175,240,0,7893095424133
BA-RAD044 - RÁDIO BLUETOOTH,BA-RAD044,250,350,0,7893095510768
KV-292 CAPA DE AGUA,KV-292,5.5,12,0,
FON-30157 BUDS 3,FON-30157,25,0,0,
FONE S10+,FONE S10+,1,0,0,
CABO C /IPH MARCA,CABO C/IPH,4.2,0,0,
FONE XIAOMI VERMELHO,FONE-MI,14,0,0,
X2 S3,X2 S3,78,0,0,
RAD-6781 - MINI RADIO,RAD-6781,25,40,0,7899085592417
CARTÃO DE MEMÓRIA C/ADAPTADOR MASTERDRIVE 32GB,CARTÃO-32GB,20,35,0,7893826803381
CARTÃO 4GB ALTOMEX AL-MO-4,,13,20,0,8878919900443
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
LE-2433 - FONE DE OUVIDO,LE-2433,30,50,0,7908125209977
KA-0021 - CAIXA DE SOM KAPBOM XERTMT (MENOR),KA-0021,75,120,0,
RAD-6777 - RADIO INOVA,RAD-6777,25,45,0,7899085592424
3632 - CAIXA DE SOM,MS-3632BT,95,135,0,
AL-220 RECEPTOR BLUETOOTH PARA CARRO SEM FIO,AL-220,6,12,0,7898855712208
UMBR-12491 SOMBRINHA,UMBR-12461,15,25,0,7893095545166
LE-1993 CONJUNTO DE CHAVE DE CATACRA,LE-1993,37,55,1,7908125207287
